currency,rate
ARS,136.272530
AUD,1.822442
BHD,0.514024
BWP,15.414695
BRL,7.708483
BND,1.846059
BGN,2.310077
CAD,1.693696
CLP,1112.061329
CNY,8.749259
COP,5151.644247
HRK,8.872313
CZK,30.272470
DKK,8.787503
EUR,1.181123
HKD,10.637166
HUF,425.579730
ISK,177.176800
INR,102.409039
IDR,19500.010679
IRR,57452.085469
ILS,4.289748
JPY,156.279160
KZT,585.092719
KRW,1610.821401
KWD,0.412564
LYD,6.271785
MYR,5.672751
MUR,58.807905
MXN,28.280034
NPR,164.622530
NZD,1.905330
NOK,11.524450
OMR,0.525644
PKR,233.023990
PHP,69.047621
PLN,5.447845
QAR,4.976185
RON,5.845648
RUB,96.962874
SAR,5.126564
SGD,1.846059
ZAR,20.938962
LKR,276.149384
SEK,11.728432
CHF,1.252004
TWD,38.101841
THB,45.613666
TTD,9.252662
TRY,13.048939
AED,5.020615
USD,1.367084
VEF,594200.448389
