currency,rate
ARS,12.810981
AUD,0.171328
BHD,0.048323
BWP,1.449136
BRL,0.724674
BND,0.173548
BGN,0.217170
CAD,0.159224
CLP,104.544889
CNY,0.822518
COP,484.306091
HRK,0.834086
CZK,2.845915
DKK,0.826113
EUR,0.111037
HUF,40.008752
ISK,16.656392
INR,9.627474
IDR,1833.196063
IRR,5401.070729
ILS,0.403279
JPY,14.691804
KZT,55.004568
KRW,151.433325
KWD,0.038785
LYD,0.589611
MYR,0.533295
MUR,5.528531
MXN,2.658606
NPR,15.476165
NZD,0.179120
NOK,1.083414
OMR,0.049416
PKR,21.906586
PHP,6.491167
PLN,0.512152
QAR,0.467811
RON,0.549549
RUB,9.115480
SAR,0.481948
SGD,0.173548
ZAR,1.968472
LKR,25.960804
SEK,1.102590
CHF,0.117701
TWD,3.581954
THB,4.288141
TTD,0.869843
TRY,1.226731
AED,0.471988
GBP,0.094010
USD,0.128520
VEF,55860.785954
