currency,rate
ARS,15.359301
AUD,0.205408
BHD,0.057936
BWP,1.737393
BRL,0.868824
BND,0.208070
BGN,0.260369
CAD,0.190897
CLP,125.340633
CNY,0.986131
COP,580.642751
CZK,3.412016
DKK,0.990441
EUR,0.133125
HKD,1.198917
HUF,47.967168
ISK,19.969629
INR,11.542541
IDR,2197.849716
IRR,6475.434901
ILS,0.483498
JPY,17.614252
KZT,65.945906
KRW,181.555970
KWD,0.046500
LYD,0.706894
MYR,0.639377
MUR,6.628250
MXN,3.187448
NPR,18.554635
NZD,0.214750
NOK,1.298923
OMR,0.059245
PKR,26.264176
PHP,7.782370
PLN,0.614028
QAR,0.560867
RON,0.658864
RUB,10.928703
SAR,0.577816
SGD,0.208070
ZAR,2.360034
LKR,31.124847
SEK,1.321914
CHF,0.141114
TWD,4.294465
THB,5.141125
TTD,1.042869
TRY,1.470748
AED,0.565874
GBP,0.112710
USD,0.154084
VEF,66972.439558
