currency,rate
ARS,0.320204
AUD,0.004282
BHD,0.001208
BWP,0.036220
BRL,0.018113
BND,0.004338
BGN,0.005428
CAD,0.003980
CLP,2.613051
CNY,0.020558
COP,12.105004
HRK,0.020848
CZK,0.071132
DKK,0.020648
EUR,0.002775
HKD,0.024995
ISK,0.416319
INR,0.240634
IDR,45.819876
IRR,134.997232
ILS,0.010080
JPY,0.367215
KZT,1.374813
KRW,3.785005
KWD,0.000969
LYD,0.014737
MYR,0.013329
MUR,0.138183
MXN,0.066451
NPR,0.386819
NZD,0.004477
NOK,0.027079
OMR,0.001235
PKR,0.547545
PHP,0.162244
PLN,0.012801
QAR,0.011693
RON,0.013736
RUB,0.227837
SAR,0.012046
SGD,0.004338
ZAR,0.049201
LKR,0.648878
SEK,0.027559
CHF,0.002942
TWD,0.089529
THB,0.107180
TTD,0.021741
TRY,0.030662
AED,0.011797
GBP,0.002350
USD,0.003212
VEF,1396.214166
