currency,rate
ARS,0.006988
AUD,0.000093
BHD,0.000026
BWP,0.000790
BRL,0.000395
BND,0.000095
BGN,0.000118
CAD,0.000087
CLP,0.057029
CNY,0.000449
COP,0.264187
HRK,0.000455
CZK,0.001552
DKK,0.000451
EUR,0.000061
HKD,0.000545
HUF,0.021825
ISK,0.009086
INR,0.005252
IRR,2.946259
ILS,0.000220
JPY,0.008014
KZT,0.030005
KRW,0.082606
KWD,0.000021
LYD,0.000322
MYR,0.000291
MUR,0.003016
MXN,0.001450
NPR,0.008442
NZD,0.000098
NOK,0.000591
OMR,0.000027
PKR,0.011950
PHP,0.003541
PLN,0.000279
QAR,0.000255
RON,0.000300
RUB,0.004972
SAR,0.000263
SGD,0.000095
ZAR,0.001074
LKR,0.014161
SEK,0.000601
CHF,0.000064
TWD,0.001954
THB,0.002339
TTD,0.000474
TRY,0.000669
AED,0.000257
GBP,0.000051
USD,0.000070
VEF,30.471801
