currency,rate
ARS,31.767025
AUD,0.424837
BHD,0.119826
BWP,3.593380
BRL,1.796955
BND,0.430342
BGN,0.538511
CAD,0.394824
CLP,259.236985
CNY,2.039574
COP,1200.920029
HRK,2.068260
CZK,7.056934
DKK,2.048489
EUR,0.275336
HKD,2.479672
HUF,99.208563
ISK,41.302380
INR,23.872973
IDR,4545.724096
IRR,13392.881345
JPY,36.430849
KZT,136.393262
KRW,375.504905
KWD,0.096174
LYD,1.462040
MYR,1.322397
MUR,13.708942
MXN,6.592470
NPR,38.375805
NZD,0.444159
NOK,2.686510
OMR,0.122535
PKR,54.321138
PHP,16.095962
PLN,1.269968
QAR,1.160018
RON,1.362702
RUB,22.603396
SAR,1.195074
SGD,0.430342
ZAR,4.881164
LKR,64.374268
SEK,2.734061
CHF,0.291860
TWD,8.882070
THB,10.633181
TTD,2.156924
TRY,3.041889
AED,1.170375
GBP,0.233114
USD,0.318686
VEF,138516.400852
