currency,rate
ARS,1.330669
AUD,0.017796
BHD,0.005019
BWP,0.150521
BRL,0.075272
BND,0.018026
BGN,0.022557
CAD,0.016539
CLP,10.859015
CNY,0.085434
COP,50.304586
HRK,0.086636
CZK,0.295603
DKK,0.085808
EUR,0.011533
HKD,0.103869
HUF,4.155685
ISK,1.730089
IDR,190.412984
IRR,561.006003
ILS,0.041888
JPY,1.526029
KZT,5.713292
KRW,15.729289
KWD,0.004029
LYD,0.061242
MYR,0.055393
MUR,0.574245
MXN,0.276148
NPR,1.607500
NZD,0.018605
NOK,0.112534
OMR,0.005133
PKR,2.275424
PHP,0.674234
PLN,0.053197
QAR,0.048591
RON,0.057081
RUB,0.946819
SAR,0.050060
SGD,0.018026
ZAR,0.204464
LKR,2.696533
SEK,0.114525
CHF,0.012226
TWD,0.372055
THB,0.445407
TTD,0.090350
TRY,0.127420
AED,0.049025
GBP,0.009765
USD,0.013349
VEF,5802.226596
