currency,rate
ARS,0.769133
AUD,0.010286
BHD,0.002901
BWP,0.087002
BRL,0.043507
BND,0.010419
BGN,0.013038
CAD,0.009559
CLP,6.276563
CNY,0.049382
COP,29.076291
HRK,0.050076
CZK,0.170860
DKK,0.049597
EUR,0.006666
HKD,0.060037
HUF,2.402006
INR,0.578005
IDR,110.059616
IRR,324.264155
ILS,0.024212
JPY,0.882052
KZT,3.302310
KRW,9.091605
KWD,0.002329
LYD,0.035398
MYR,0.032017
MUR,0.331917
MXN,0.159615
NPR,0.929143
NZD,0.010754
NOK,0.065045
OMR,0.002967
PKR,1.315206
PHP,0.389710
PLN,0.030748
QAR,0.028086
RON,0.032993
RUB,0.547266
SAR,0.028935
SGD,0.010419
ZAR,0.118181
LKR,1.558609
SEK,0.066196
CHF,0.007066
TWD,0.215050
THB,0.257447
TTD,0.052223
TRY,0.073649
AED,0.028337
GBP,0.005644
USD,0.007716
VEF,3353.714745
