currency,rate
ARS,0.871981
AUD,0.011661
BHD,0.003289
BWP,0.098636
BRL,0.049325
BND,0.011813
BGN,0.014782
CAD,0.010838
CLP,7.115865
CNY,0.055985
COP,32.964371
HRK,0.056772
CZK,0.193708
DKK,0.056230
EUR,0.007558
HKD,0.068065
HUF,2.723202
ISK,1.133720
INR,0.655296
IDR,124.776782
IRR,367.624739
ILS,0.027449
KZT,3.743895
KRW,10.307333
KWD,0.002640
LYD,0.040132
MYR,0.036299
MUR,0.376300
MXN,0.180958
NPR,1.053388
NZD,0.012192
NOK,0.073743
OMR,0.003363
PKR,1.491075
PHP,0.441822
PLN,0.034860
QAR,0.031842
RON,0.037405
RUB,0.620447
SAR,0.032804
SGD,0.011813
ZAR,0.133984
LKR,1.767026
SEK,0.075048
CHF,0.008011
TWD,0.243806
THB,0.291873
TTD,0.059206
TRY,0.083498
AED,0.032126
GBP,0.006399
USD,0.008748
VEF,3802.173290
