currency,rate
ARS,0.084598
AUD,0.001131
BHD,0.000319
BWP,0.009569
BRL,0.004785
BND,0.001146
BGN,0.001434
CAD,0.001051
CLP,0.690369
CNY,0.005432
COP,3.198147
HRK,0.005508
CZK,0.018793
DKK,0.005455
EUR,0.000733
HKD,0.006604
HUF,0.264200
ISK,0.109992
INR,0.063576
IDR,12.105632
IRR,35.666329
ILS,0.002663
JPY,0.097018
KZT,0.363226
KWD,0.000256
LYD,0.003894
MYR,0.003522
MUR,0.036508
MXN,0.017556
NPR,0.102198
NZD,0.001183
NOK,0.007154
OMR,0.000326
PKR,0.144662
PHP,0.042865
PLN,0.003382
QAR,0.003089
RON,0.003629
RUB,0.060195
SAR,0.003183
SGD,0.001146
ZAR,0.012999
LKR,0.171434
SEK,0.007281
CHF,0.000777
TWD,0.023654
THB,0.028317
TTD,0.005744
TRY,0.008101
AED,0.003117
GBP,0.000621
USD,0.000849
VEF,368.880403
