currency,rate
ARS,330.306295
AUD,4.417354
BHD,1.245924
BWP,37.363149
BRL,18.684325
BND,4.474599
BGN,5.599315
CAD,4.105291
CLP,2695.487168
CNY,21.207027
COP,12486.893125
HRK,21.505294
CZK,73.376398
DKK,21.299726
EUR,2.862884
HKD,25.783060
HUF,1031.548056
ISK,429.452747
INR,248.225743
IDR,47265.404522
IRR,139256.131958
ILS,10.397772
JPY,378.799676
KZT,1418.186097
KRW,3904.414536
LYD,15.201963
MYR,13.749986
MUR,142.542456
MXN,68.547001
NPR,399.022882
NZD,4.618265
NOK,27.933717
OMR,1.274090
PKR,564.818826
PHP,167.362152
PLN,13.204843
QAR,12.061604
RON,14.169064
RUB,235.024972
SAR,12.426103
SGD,4.474599
ZAR,50.753230
LKR,669.348986
SEK,28.428144
CHF,3.034690
TWD,92.353740
THB,110.561395
TTD,22.427210
TRY,31.628874
AED,12.169297
GBP,2.423866
USD,3.313627
VEF,1440262.009199
