currency,rate
ARS,0.232908
AUD,0.003115
BHD,0.000879
BWP,0.026346
BRL,0.013175
BND,0.003155
BGN,0.003948
CAD,0.002895
CLP,1.900658
CNY,0.014954
COP,8.804834
HRK,0.015164
CZK,0.051740
DKK,0.015019
EUR,0.002019
HKD,0.018180
HUF,0.727371
ISK,0.302818
INR,0.175030
IDR,33.328069
IRR,98.193130
ILS,0.007332
JPY,0.267102
KRW,2.753105
KWD,0.000705
LYD,0.010719
MYR,0.009695
MUR,0.100510
MXN,0.048334
NPR,0.281361
NZD,0.003256
NOK,0.019697
OMR,0.000898
PKR,0.398268
PHP,0.118011
PLN,0.009311
QAR,0.008505
RON,0.009991
RUB,0.165722
SAR,0.008762
SGD,0.003155
ZAR,0.035787
LKR,0.471975
SEK,0.020045
CHF,0.002140
TWD,0.065121
THB,0.077960
TTD,0.015814
TRY,0.022302
AED,0.008581
GBP,0.001709
USD,0.002337
VEF,1015.566302
