currency,rate
ARS,0.493474
AUD,0.006599
BHD,0.001861
BWP,0.055820
BRL,0.027914
BND,0.006685
BGN,0.008365
CAD,0.006133
CLP,4.027028
CNY,0.031683
COP,18.655281
HRK,0.032129
CZK,0.109624
DKK,0.031822
EUR,0.004277
HKD,0.038520
HUF,1.541121
ISK,0.641598
INR,0.370847
IDR,70.613993
IRR,208.047125
ILS,0.015534
JPY,0.565923
KZT,2.118754
KRW,5.833152
KWD,0.001494
LYD,0.022712
MYR,0.020542
MUR,0.212957
MXN,0.102408
NPR,0.596136
NZD,0.006900
NOK,0.041733
OMR,0.001903
PKR,0.843833
PHP,0.250037
PLN,0.019728
QAR,0.018020
RON,0.021168
RUB,0.351125
SAR,0.018564
SGD,0.006685
ZAR,0.075825
SEK,0.042471
CHF,0.004534
TWD,0.137975
THB,0.165178
TTD,0.033506
TRY,0.047253
AED,0.018181
GBP,0.003621
USD,0.004951
VEF,2151.735552
