currency,rate
ARS,21.727871
AUD,0.290578
BHD,0.081958
BWP,2.457784
BRL,1.229073
BND,0.294343
BGN,0.368328
CAD,0.270050
CLP,177.311780
CNY,1.395019
COP,821.400031
HRK,1.414639
CZK,4.826771
DKK,1.401117
EUR,0.188323
HKD,1.696035
HUF,67.856239
ISK,28.249821
INR,16.328532
IDR,3109.164494
IRR,9160.404431
ILS,0.683976
JPY,24.917813
KZT,93.289667
KRW,256.836203
KWD,0.065781
MYR,0.904488
MUR,9.376582
MXN,4.509089
NPR,26.248115
NZD,0.303794
NOK,1.837507
OMR,0.083811
PKR,37.154334
PHP,11.009246
PLN,0.868627
QAR,0.793424
RON,0.932055
RUB,15.460172
SAR,0.817401
SGD,0.294343
ZAR,3.338597
LKR,44.030430
SEK,1.870031
CHF,0.199625
TWD,6.075119
THB,7.272837
TTD,1.475284
TRY,2.080578
AED,0.800508
GBP,0.159444
USD,0.217974
VEF,94741.842282
