currency,rate
ARS,2.317249
AUD,0.030990
BHD,0.008741
BWP,0.262119
BRL,0.131079
BND,0.031391
BGN,0.039282
CAD,0.028800
CLP,18.910065
CNY,0.148777
COP,87.601221
HRK,0.150869
CZK,0.514769
DKK,0.149427
EUR,0.020084
HKD,0.180880
HUF,7.236778
ISK,3.012806
INR,1.741416
IDR,331.588257
IRR,976.944946
ILS,0.072945
JPY,2.657452
KZT,9.949219
KRW,27.391239
KWD,0.007015
LYD,0.106649
MYR,0.096462
MXN,0.480888
NPR,2.799327
NZD,0.032399
NOK,0.195968
OMR,0.008938
PKR,3.962460
PHP,1.174121
PLN,0.092638
QAR,0.084618
RON,0.099402
RUB,1.648807
SAR,0.087175
SGD,0.031391
ZAR,0.356057
LKR,4.695787
SEK,0.199436
CHF,0.021290
TWD,0.647903
THB,0.775638
TTD,0.157337
TRY,0.221891
AED,0.085373
GBP,0.017005
USD,0.023247
VEF,10104.091437
