currency,rate
ARS,4.818683
AUD,0.064443
BHD,0.018176
BWP,0.545073
BRL,0.272577
BND,0.065278
BGN,0.081686
CAD,0.059890
CLP,39.323196
CNY,0.309379
COP,182.165419
HRK,0.313731
CZK,1.070454
DKK,0.310732
EUR,0.041765
HKD,0.376137
HUF,15.048770
ISK,6.265084
INR,3.621249
IDR,689.532787
IRR,2031.542304
ILS,0.151688
JPY,5.526131
KZT,20.689251
KRW,56.959670
KWD,0.014589
LYD,0.221774
MYR,0.200592
MUR,2.079485
NPR,5.821157
NZD,0.067374
NOK,0.407512
OMR,0.018587
PKR,8.239877
PHP,2.441568
PLN,0.192639
QAR,0.175961
RON,0.206706
RUB,3.428669
SAR,0.181279
SGD,0.065278
ZAR,0.740415
LKR,9.764818
SEK,0.414725
CHF,0.044272
TWD,1.347305
THB,1.612928
TTD,0.327180
TRY,0.461419
AED,0.177532
GBP,0.035361
USD,0.048341
VEF,21011.306002
