currency,rate
ARS,24.022300
AUD,0.321262
BHD,0.090613
BWP,2.717323
BRL,1.358861
BND,0.325426
BGN,0.407223
CAD,0.298567
CLP,196.035626
CNY,1.542331
COP,908.138588
HRK,1.564023
CZK,5.336471
DKK,1.549073
EUR,0.208210
HKD,1.875134
HUF,75.021752
ISK,31.232958
INR,18.052799
IDR,3437.487395
IRR,10127.728793
ILS,0.756202
JPY,27.549095
KZT,103.140910
KRW,283.957704
KWD,0.072727
LYD,1.105598
MUR,10.366734
MXN,4.985241
NPR,29.019875
NZD,0.335874
NOK,2.031545
OMR,0.092661
PKR,41.077774
PHP,12.171805
PLN,0.960353
QAR,0.877208
RON,1.030478
RUB,17.092742
SAR,0.903717
SGD,0.325426
ZAR,3.691148
LKR,48.679975
SEK,2.067503
CHF,0.220705
TWD,6.716642
THB,8.040837
TTD,1.631071
TRY,2.300284
AED,0.885041
GBP,0.176281
USD,0.240991
VEF,104746.432458
