currency,rate
ARS,11.824645
AUD,0.158137
BHD,0.044603
BWP,1.337565
BRL,0.668881
BND,0.160186
BGN,0.200450
CAD,0.146965
CLP,96.495828
CNY,0.759191
COP,447.018671
HRK,0.769869
CZK,2.626804
DKK,0.762510
EUR,0.102488
HKD,0.923009
HUF,36.928421
ISK,15.373992
INR,8.886241
IDR,1692.055672
IRR,4985.234555
ILS,0.372230
JPY,13.560661
KZT,50.769688
KRW,139.774256
KWD,0.035799
LYD,0.544216
MYR,0.492236
MUR,5.102882
MXN,2.453916
NPR,14.284632
NZD,0.165329
OMR,0.045611
PKR,20.219967
PHP,5.991403
PLN,0.472721
QAR,0.431794
RON,0.507239
RUB,8.413666
SAR,0.444842
SGD,0.160186
ZAR,1.816916
LKR,23.962045
SEK,1.017700
CHF,0.108639
TWD,3.306174
THB,3.957991
TTD,0.802872
TRY,1.132283
AED,0.435649
GBP,0.086772
USD,0.118625
VEF,51559.984006
