currency,rate
ARS,0.827788
AUD,0.011070
BHD,0.003122
BWP,0.093637
BRL,0.046825
BND,0.011214
BGN,0.014033
CAD,0.010288
CLP,6.755220
CNY,0.053147
COP,31.293677
HRK,0.053895
CZK,0.183890
DKK,0.053380
EUR,0.007175
HKD,0.064615
HUF,2.585185
ISK,1.076261
INR,0.622084
IDR,118.452867
IRR,348.992848
ILS,0.026058
JPY,0.949318
KZT,3.554147
KRW,9.784939
KWD,0.002506
LYD,0.038098
MYR,0.034459
MUR,0.357229
MXN,0.171787
NZD,0.011574
NOK,0.070005
OMR,0.003193
PKR,1.415505
PHP,0.419430
PLN,0.033093
QAR,0.030228
RON,0.035509
RUB,0.589001
SAR,0.031141
SGD,0.011214
ZAR,0.127194
LKR,1.677470
SEK,0.071244
CHF,0.007605
TWD,0.231450
THB,0.277080
TTD,0.056205
TRY,0.079266
AED,0.030498
GBP,0.006075
USD,0.008304
VEF,3609.472222
