currency,rate
ARS,71.521729
AUD,0.956496
BHD,0.269782
BWP,8.090300
BRL,4.045746
BND,0.968892
BGN,1.212428
CAD,0.888925
CLP,583.657971
CNY,4.591990
COP,2703.806121
HRK,4.656574
CZK,15.888304
DKK,4.612062
EUR,0.619905
HKD,5.582846
HUF,223.362683
ISK,92.990062
INR,53.748701
IDR,10234.450536
IRR,30153.343842
ILS,2.251446
JPY,82.022075
KZT,307.082011
KRW,845.428868
KWD,0.216532
LYD,3.291704
MYR,2.977306
MUR,30.864937
MXN,14.842587
NPR,86.401037
NOK,6.048531
OMR,0.275881
PKR,122.301087
PHP,36.239183
PLN,2.859265
QAR,2.611718
RON,3.068049
RUB,50.890318
SAR,2.690643
SGD,0.968892
ZAR,10.989675
LKR,144.935162
SEK,6.155590
CHF,0.657106
TWD,19.997497
THB,23.940029
TTD,4.856198
TRY,6.848649
AED,2.635037
GBP,0.524843
USD,0.717505
VEF,311862.141903
