currency,rate
ARS,259.248843
AUD,3.467066
BHD,0.977893
BWP,29.325367
BRL,14.664842
BND,3.511996
BGN,4.394757
CAD,3.222137
CLP,2115.617960
CNY,16.644845
COP,9800.638515
HRK,16.878948
CZK,57.591232
DKK,16.717602
EUR,2.247004
HKD,20.236455
HUF,809.635312
ISK,337.066321
INR,194.825947
IDR,37097.389985
IRR,109298.525789
ILS,8.160942
JPY,297.310040
KZT,1113.097481
KRW,3064.473692
KWD,0.784874
LYD,11.931627
MYR,10.792008
MUR,111.877876
MXN,53.800763
NPR,313.182710
NZD,3.624756
NOK,21.924450
PKR,443.311646
PHP,131.358212
PLN,10.364139
QAR,9.466840
RON,11.120931
RUB,184.465004
SAR,9.752926
SGD,3.511996
ZAR,39.834894
LKR,525.354656
SEK,22.312513
CHF,2.381850
TWD,72.486055
THB,86.776771
TTD,17.602535
TRY,24.824682
AED,9.551365
GBP,1.902429
USD,2.600780
VEF,1130424.291860
