currency,rate
ARS,1.973602
AUD,0.026394
BHD,0.007444
BWP,0.223247
BRL,0.111640
BND,0.026736
BGN,0.033456
CAD,0.024529
CLP,16.105715
CNY,0.126713
COP,74.610018
HRK,0.128496
CZK,0.438429
DKK,0.127267
EUR,0.017106
HKD,0.154056
HUF,6.163568
ISK,2.566009
INR,1.483165
IDR,282.413939
IRR,832.064659
ILS,0.062127
JPY,2.263353
KZT,8.473756
KRW,23.329137
KWD,0.005975
LYD,0.090833
MYR,0.082157
MUR,0.851701
MXN,0.409573
NPR,2.384188
NZD,0.027594
NOK,0.166906
OMR,0.007613
PKR,3.374830
PLN,0.078900
QAR,0.072069
RON,0.084661
RUB,1.404290
SAR,0.074247
SGD,0.026736
ZAR,0.303254
LKR,3.999405
SEK,0.169860
CHF,0.018132
TWD,0.551820
THB,0.660612
TTD,0.134004
TRY,0.188985
AED,0.072712
GBP,0.014483
USD,0.019799
VEF,8605.661387
