currency,rate
ARS,0.584800
AUD,0.007821
BHD,0.002206
BWP,0.066151
BRL,0.033080
BND,0.007922
BGN,0.009913
CAD,0.007268
CLP,4.772304
CNY,0.037547
COP,22.107785
HRK,0.038075
CZK,0.129911
DKK,0.037711
EUR,0.005069
HKD,0.045648
HUF,1.826334
ISK,0.760337
INR,0.439479
IDR,83.682417
IRR,246.550089
ILS,0.018409
JPY,0.670657
KZT,2.510869
KRW,6.912685
KWD,0.001770
LYD,0.026915
MYR,0.024344
MUR,0.252368
MXN,0.121361
NPR,0.706462
NZD,0.008177
NOK,0.049456
OMR,0.002256
PHP,0.296311
PLN,0.023379
QAR,0.021355
RON,0.025086
RUB,0.416107
SAR,0.022000
SGD,0.007922
ZAR,0.089858
LKR,1.185068
SEK,0.050331
CHF,0.005373
TWD,0.163510
THB,0.195747
TTD,0.039707
TRY,0.055998
AED,0.021545
GBP,0.004291
USD,0.005867
VEF,2549.953973
