currency,rate
ARS,25.014026
AUD,0.334525
BHD,0.094354
BWP,2.829503
BRL,1.414960
BND,0.338860
BGN,0.424035
CAD,0.310893
CLP,204.128676
CNY,1.606004
COP,945.629790
HRK,1.628591
CZK,5.556779
DKK,1.613024
EUR,0.216806
HKD,1.952546
HUF,78.118917
ISK,32.522366
INR,18.798083
IDR,3579.399143
IRR,10545.837582
ILS,0.787421
JPY,28.686420
KZT,107.398935
KRW,295.680492
KWD,0.075730
LYD,1.151241
MYR,1.041284
MUR,10.794710
MXN,5.191050
NPR,30.217919
NZD,0.349740
NOK,2.115415
OMR,0.096487
PKR,42.773611
PHP,12.674301
QAR,0.913423
RON,1.073020
RUB,17.798392
SAR,0.941026
SGD,0.338860
ZAR,3.843531
LKR,50.689658
SEK,2.152857
CHF,0.229816
TWD,6.993929
THB,8.372791
TTD,1.698408
TRY,2.395248
AED,0.921578
GBP,0.183559
USD,0.250940
VEF,109070.739014
