currency,rate
ARS,27.384940
AUD,0.366233
BHD,0.103297
BWP,3.097693
BRL,1.549075
BND,0.370979
BGN,0.464226
CAD,0.340360
CLP,223.476677
CNY,1.758226
COP,1035.259755
HRK,1.782955
CZK,6.083469
DKK,1.765912
EUR,0.237355
HKD,2.137615
HUF,85.523291
ISK,35.604945
INR,20.579829
IDR,3918.666607
IRR,11545.407463
ILS,0.862056
JPY,31.405415
KZT,117.578566
KRW,323.706081
KWD,0.082908
LYD,1.260360
MYR,1.139980
MUR,11.817869
MXN,5.683075
NPR,33.082075
NZD,0.382890
NOK,2.315921
OMR,0.105632
PKR,46.827837
PHP,13.875613
PLN,1.094783
RON,1.174725
RUB,19.485383
SAR,1.030220
SGD,0.370979
ZAR,4.207834
LKR,55.494194
SEK,2.356912
CHF,0.251599
TWD,7.656837
THB,9.166392
TTD,1.859389
TRY,2.622278
AED,1.008929
GBP,0.200957
USD,0.274725
VEF,119408.829731
