currency,rate
ARS,23.311793
AUD,0.311760
BHD,0.087933
BWP,2.636953
BRL,1.318670
BND,0.315801
BGN,0.395179
CAD,0.289736
CLP,190.237489
CNY,1.496713
COP,881.278612
HRK,1.517764
CZK,5.178634
DKK,1.503256
EUR,0.202052
HKD,1.819673
HUF,72.802837
ISK,30.309182
INR,17.518852
IDR,3335.816977
IRR,9828.181391
ILS,0.733836
JPY,26.734276
KZT,100.090316
KRW,275.559099
KWD,0.070576
LYD,1.072898
MYR,0.970423
MUR,10.060118
MXN,4.837793
NPR,28.161555
NZD,0.325940
NOK,1.971458
OMR,0.089921
PKR,39.862818
PHP,11.811800
PLN,0.931949
QAR,0.851263
RUB,16.587191
SAR,0.876988
SGD,0.315801
ZAR,3.581975
LKR,47.240169
SEK,2.006353
CHF,0.214177
TWD,6.517984
THB,7.803013
TTD,1.582829
TRY,2.232249
AED,0.858864
GBP,0.171067
USD,0.233864
VEF,101648.351691
