currency,rate
ARS,1.405409
AUD,0.018795
BHD,0.005301
BWP,0.158975
BRL,0.079499
BND,0.019039
BGN,0.023824
CAD,0.017467
CLP,11.468939
CNY,0.090233
COP,53.130070
HRK,0.091502
CZK,0.312207
DKK,0.090628
EUR,0.012181
HKD,0.109703
HUF,4.389100
ISK,1.827264
INR,1.056168
IDR,201.108010
IRR,592.516322
ILS,0.044241
JPY,1.611742
KZT,6.034193
KRW,16.612765
KWD,0.004255
LYD,0.064682
MYR,0.058504
MUR,0.606499
MXN,0.291658
NPR,1.697789
NZD,0.019650
NOK,0.118854
OMR,0.005421
PKR,2.403229
PHP,0.712104
PLN,0.056185
QAR,0.051321
RON,0.060287
SAR,0.052871
SGD,0.019039
ZAR,0.215948
LKR,2.847991
SEK,0.120958
CHF,0.012912
TWD,0.392953
THB,0.470424
TTD,0.095425
TRY,0.134577
AED,0.051779
GBP,0.010313
USD,0.014099
VEF,6128.123306
