currency,rate
ARS,26.581648
AUD,0.355490
BHD,0.100267
BWP,3.006828
BRL,1.503635
BND,0.360097
BGN,0.450609
CAD,0.330376
CLP,216.921361
CNY,1.706651
COP,1004.892136
HRK,1.730655
CZK,5.905021
DKK,1.714112
EUR,0.230393
HKD,2.074911
HUF,83.014607
ISK,34.560533
INR,19.976154
IDR,3803.719053
IRR,11206.742178
ILS,0.836769
JPY,30.484189
KZT,114.129595
KRW,314.210703
KWD,0.080476
LYD,1.223389
MYR,1.106541
MUR,11.471212
MXN,5.516372
NPR,32.111667
NZD,0.371658
NOK,2.247987
OMR,0.102533
PKR,45.454221
PHP,13.468595
PLN,1.062670
QAR,0.970667
RON,1.140266
RUB,18.913812
SGD,0.360097
ZAR,4.084404
LKR,53.866364
SEK,2.287776
CHF,0.244219
TWD,7.432237
THB,8.897512
TTD,1.804847
TRY,2.545357
AED,0.979333
GBP,0.195062
USD,0.266667
VEF,115906.170725
