currency,rate
ARS,11.618989
AUD,0.155387
BHD,0.043827
BWP,1.314301
BRL,0.657247
BND,0.157400
BGN,0.196964
CAD,0.144409
CLP,94.817558
CNY,0.745987
COP,439.244055
HRK,0.756479
CZK,2.581118
DKK,0.749248
EUR,0.100706
HKD,0.906955
HUF,36.286156
ISK,15.106605
INR,8.731690
IDR,1662.627183
IRR,4898.530602
ILS,0.365756
JPY,13.324812
KZT,49.886694
KRW,137.343281
KWD,0.035176
LYD,0.534750
MYR,0.483675
MUR,5.014132
MXN,2.411237
NPR,14.036192
NZD,0.162454
NOK,0.982608
OMR,0.044818
PKR,19.868298
PHP,5.887199
PLN,0.464499
QAR,0.424284
RON,0.498417
RUB,8.267334
SAR,0.437106
SGD,0.157400
ZAR,1.785316
LKR,23.545293
CHF,0.106749
TWD,3.248673
THB,3.889153
TTD,0.788909
TRY,1.112590
AED,0.428072
GBP,0.085263
USD,0.116562
VEF,50663.244967
