currency,rate
ARS,73.818083
AUD,0.987207
BHD,0.278444
BWP,8.350056
BRL,4.175643
BND,1.000000
BGN,1.251356
CAD,0.917466
CLP,602.397526
CNY,4.739425
COP,2790.617451
HRK,4.806083
CZK,16.398431
DKK,4.760142
EUR,0.639808
HKD,5.762094
HUF,230.534207
ISK,95.975702
INR,55.474415
IDR,10563.048899
IRR,31121.479784
ILS,2.323733
JPY,84.655564
KZT,316.941519
KRW,872.573124
KWD,0.223484
LYD,3.397391
MYR,3.072898
MUR,31.855920
MXN,15.319139
NPR,89.175122
NZD,1.032107
NOK,6.242731
OMR,0.284738
PKR,126.227818
PHP,37.402718
PLN,2.951068
QAR,2.695572
RON,3.166555
RUB,52.524257
SAR,2.777032
ZAR,11.342521
LKR,149.588608
SEK,6.353228
CHF,0.678204
TWD,20.639558
THB,24.708673
TTD,5.012117
TRY,7.068539
AED,2.719640
GBP,0.541695
USD,0.740542
VEF,321875.125875
