currency,rate
ARS,2.987537
AUD,0.039954
BHD,0.011269
BWP,0.337940
BRL,0.168995
BND,0.040472
BGN,0.050644
CAD,0.037131
CLP,24.380003
CNY,0.191812
COP,112.940806
HRK,0.194510
CZK,0.663671
DKK,0.192651
EUR,0.025894
HKD,0.233201
HUF,9.330093
ISK,3.884292
INR,2.245139
IDR,427.503690
IRR,1259.536672
ILS,0.094045
JPY,3.426148
KZT,12.827136
KRW,35.314447
KWD,0.009045
LYD,0.137498
MYR,0.124365
MUR,1.289261
MXN,0.619990
NPR,3.609062
NZD,0.041771
NOK,0.252653
OMR,0.011524
PKR,5.108644
PHP,1.513749
PLN,0.119434
QAR,0.109094
RON,0.128156
RUB,2.125742
SAR,0.112391
SGD,0.040472
ZAR,0.459050
LKR,6.054093
SEK,0.257125
CHF,0.027448
TWD,0.835316
TTD,0.202848
TRY,0.286075
AED,0.110068
GBP,0.021923
USD,0.029971
VEF,13026.807451
