currency,rate
ARS,10.443189
AUD,0.139662
BHD,0.039392
BWP,1.181299
BRL,0.590736
BND,0.141472
BGN,0.177032
CAD,0.129796
CLP,85.222357
CNY,0.670496
COP,394.794114
HRK,0.679926
CZK,2.319918
DKK,0.673427
EUR,0.090515
HKD,0.815175
HUF,32.614126
ISK,13.577870
INR,7.848074
IDR,1494.375207
IRR,4402.816671
ILS,0.328743
JPY,11.976388
KZT,44.838337
KRW,123.444628
KWD,0.031617
LYD,0.480636
MYR,0.434729
MUR,4.506719
MXN,2.167229
NPR,12.615779
NZD,0.146014
NOK,0.883171
OMR,0.040282
PKR,17.857697
PHP,5.291436
PLN,0.417493
QAR,0.381348
RON,0.447979
RUB,7.430710
SAR,0.392872
SGD,0.141472
ZAR,1.604649
LKR,21.162593
SEK,0.898804
CHF,0.095947
TWD,2.919919
THB,3.495584
TTD,0.709074
AED,0.384753
GBP,0.076635
USD,0.104766
VEF,45536.304184
