currency,rate
ARS,14.728577
AUD,0.196963
BHD,0.055553
BWP,1.665861
BRL,0.833018
BND,0.199504
BGN,0.249674
CAD,0.183047
CLP,120.186428
CNY,0.945500
COP,556.735076
HRK,0.958877
CZK,3.271341
DKK,0.949751
EUR,0.127656
HKD,1.149551
HUF,45.994099
ISK,19.149442
INR,11.067046
IDR,2106.906471
IRR,6209.139716
ILS,0.463604
JPY,16.888886
KZT,63.233216
KRW,174.066302
KWD,0.044588
LYD,0.677862
MYR,0.613037
MUR,6.355604
MXN,3.056340
NPR,17.790276
NZD,0.205918
NOK,1.244991
OMR,0.056809
PKR,25.183943
PHP,7.461745
PLN,0.588811
QAR,0.537802
RON,0.631749
RUB,10.479116
SAR,0.554054
SGD,0.199504
ZAR,2.262979
LKR,29.845442
SEK,1.267480
CHF,0.135317
TWD,4.117244
THB,4.929328
TRY,1.410272
AED,0.542603
GBP,0.108086
USD,0.147748
VEF,64213.559356
