currency,rate
ARS,3.577290
AUD,0.047838
BHD,0.013493
BWP,0.404606
BRL,0.202324
BND,0.048456
BGN,0.060641
CAD,0.044459
CLP,29.190991
CNY,0.229644
COP,135.220330
HRK,0.232893
CZK,0.794546
DKK,0.230676
EUR,0.031005
HKD,0.279204
HUF,11.171089
ISK,4.651034
INR,2.687974
IDR,511.727393
IRR,1508.081599
ILS,0.112601
JPY,4.101988
KZT,15.358142
KRW,42.277385
KWD,0.010829
LYD,0.164640
MYR,0.148895
MUR,1.543655
MXN,0.742327
NPR,4.320919
NZD,0.050013
NOK,0.302385
OMR,0.013798
PKR,6.116699
PHP,1.812316
PLN,0.143011
QAR,0.130622
RON,0.153440
RUB,2.545177
SAR,0.134569
SGD,0.048456
ZAR,0.549634
LKR,7.248889
SEK,0.307847
CHF,0.032866
THB,1.197240
TTD,0.242881
TRY,0.342528
AED,0.131788
GBP,0.026252
USD,0.035885
VEF,15596.248708
