currency,rate
ARS,99.687337
AUD,1.333102
BHD,0.376000
BWP,11.275038
BRL,5.638112
BND,1.350304
BGN,1.689870
CAD,1.238914
CLP,813.457078
CNY,6.399421
COP,3768.146679
HRK,6.489960
CZK,22.141397
DKK,6.428191
EUR,0.864017
HKD,7.780496
HUF,311.301585
ISK,129.609055
INR,74.905018
IDR,14260.162450
IRR,42025.283166
ILS,3.137810
JPY,114.308949
KZT,427.981000
KRW,1178.131911
KWD,0.301781
LYD,4.587969
MYR,4.149211
MUR,43.016595
MXN,20.686209
NPR,120.409817
NZD,1.393711
NOK,8.426466
OMR,0.384500
PKR,170.452331
PHP,50.503284
PLN,3.985244
QAR,3.640000
RON,4.275863
RUB,70.925740
SAR,3.750000
SGD,1.350304
ZAR,15.316509
LKR,202.002726
SEK,8.578678
CHF,0.915863
TWD,27.866717
THB,33.363139
TTD,6.768294
TRY,9.545135
AED,3.672500
GBP,0.731559
VEF,434616.249323
