currency,rate
ARS,6.508490
AUD,0.087037
BHD,0.024549
BWP,0.736136
BRL,0.368107
BND,0.088160
BGN,0.110330
CAD,0.080888
CLP,53.109824
CNY,0.417812
COP,246.018645
HRK,0.423723
CZK,1.445590
DKK,0.419690
EUR,0.056411
HKD,0.507981
HUF,20.324579
ISK,8.462050
INR,4.890476
IDR,931.032186
IRR,2743.790010
ILS,0.204865
JPY,7.463121
KZT,27.942465
KRW,76.919091
KWD,0.019703
LYD,0.299544
MYR,0.270898
MUR,2.808512
MXN,1.350583
NPR,7.861440
NZD,0.090994
NOK,0.550156
OMR,0.025104
PKR,11.128668
PHP,3.297310
PLN,0.260193
QAR,0.237652
RON,0.279167
RUB,4.630673
SAR,0.244834
SGD,0.088160
LKR,13.188562
SEK,0.560094
CHF,0.059796
TWD,1.819391
THB,2.178247
TTD,0.441895
TRY,0.623193
AED,0.239774
GBP,0.047763
USD,0.065289
VEF,28375.673721
